Part Name ,QTY,Price Per,Link ,Notes
Raspberry Pi Zero 2 W(U2),1,,here,
LM2596 (U1),1,,here,
THT 3 Pin connectors 5 pack,1,,here,
THT 4 Pin connectors 5 pack,1,,here,
Mg996r ,3,,here,servo
Nema23 23HS5628 ,1,,here,
Sg90,1,,here,mini servo
AC 110V - 220V DC 12V 8A,1,,here,psu
Rotary Encoder,4,,here,
Bearing - 6800-2RS 10X19X5,4,,here,
75mm M5 screw 10 pack,1,,here,
M3 M4 M5 screw and nuts pack,1,,here,
1 kg of PLA white matte ,1,,here,
resistors Pack,1,,here,10k + 1k
2.1mm Jack THT,1,,here,
DC 24V to DC 6V,1,,here,
Wire,,,here,Multiple colours + long length 
TMC2208 ,1,,here,stepper driver
,,,,
Total: ,EST: 138.06 without taxes and shipping + 30$ Bambulab without taxes and shipping ~ total $180 - $200 USD,,,
